kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,catalogNumber,identifiedBy,dateIdentified,rightsHolder,recordedBy
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25324,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25323,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25322,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25321,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25320,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25319,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25318,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25317,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25316,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-16T00:00:00Z,16,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25315,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25314,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25313,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1916-06-01T00:00:00Z,1,6,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS26419,R.W. Thorp 1968,,,A.C. Brown
